Product_ID,Product_Name,Price,Customer_Rating,Competitor_Prices,Competitor_Ratings
1099,James,424.55,3.17,"[168.31, 147.22, 41.1]","[1.5, 3.73, 3.92]"
1015,Brandon,425.09,2.87,"[286.61, 404.48, 279.14]","[2.23, 3.39, 2.11]"
1065,Adam,299.07,4.68,"[43.67, 290.32, 25.42]","[4.9, 2.46, 4.08]"
1012,Jared,38.48,1.8,"[12.15, 43.77, 346.13]","[3.41, 3.21, 3.42]"
1008,Donald,462.33,2.46,"[185.15, 264.86, 109.47]","[2.72, 3.93, 2.07]"
1098,Elizabeth,221.81,3.61,"[70.05, 300.19, 447.76]","[3.65, 4.92, 1.1]"
1097,Jasmine,138.87,2.37,"[345.07, 88.47, 293.24]","[3.46, 2.74, 1.26]"
1060,Tamara,294.35,2.87,"[383.79, 320.58, 298.69]","[1.57, 4.39, 4.51]"
1028,Isabel,399.65,3.79,"[238.67, 313.17, 138.27]","[1.19, 4.4, 2.93]"
1048,Kenneth,453.85,3.75,"[117.89, 135.16, 484.51]","[1.55, 2.94, 4.89]"
1075,Angelica,75.89,3.76,"[443.11, 78.41, 491.88]","[2.1, 3.65, 2.27]"
1036,Jacob,351.0,1.51,"[375.43, 194.2, 433.25]","[2.06, 1.33, 2.48]"
1053,Melissa,330.43,2.2,"[238.75, 95.38, 12.5]","[4.26, 1.27, 3.99]"
1093,Kim,15.11,4.09,"[182.63, 361.51, 103.48]","[4.63, 2.52, 2.67]"
1093,Christopher,330.37,4.9,"[58.66, 61.31, 474.58]","[1.22, 1.21, 1.55]"
1038,Mark,341.89,1.03,"[20.07, 456.69, 112.97]","[3.07, 2.55, 4.04]"
1092,Jeff,26.67,4.21,"[248.36, 490.37, 435.87]","[4.48, 4.58, 1.52]"
1050,Zachary,277.65,4.36,"[455.94, 143.72, 310.51]","[4.53, 1.83, 4.16]"
1078,Timothy,427.82,1.36,"[86.45, 282.01, 258.38]","[4.13, 2.31, 4.73]"
1034,Benjamin,55.92,4.94,"[323.1, 312.18, 189.21]","[3.36, 3.79, 3.14]"
1004,Randy,317.52,1.95,"[229.6, 147.84, 21.64]","[1.67, 3.12, 3.39]"
1095,Bethany,304.63,1.1,"[376.2, 329.53, 294.96]","[5.0, 3.76, 3.27]"
1093,Diane,298.58,4.08,"[353.81, 441.44, 218.92]","[1.25, 1.51, 3.01]"
1095,Allison,442.31,1.54,"[228.92, 62.52, 197.93]","[3.56, 2.61, 1.99]"
